Model,Best Epoch,Best Phase,Train AUC,Val AUC Patient,Val Threshold,TEST AUC (cal),TEST AUC CI95,TEST Recall,TEST Specificity,TEST F1,TEST PPV,TEST NPV,TEST FNR,TEST Brier,TP / TN / FP / FN,Recall ≥ 0.95,Calibrated,Exec Time (min)
resnet50,17,finetune,0.9996,0.9545,0.55,0.8969,"[0.766, 0.992]",0.8636,0.8462,0.8837,0.9048,0.7857,0.1364,0.1048,19/11/2/3,❌,✅ Isotónica (VAL→TEST),1.67
mobilevit_s,19,finetune,0.9464,0.9196,0.495,0.8357,"[0.670, 0.964]",0.7727,0.6923,0.7907,0.8095,0.6429,0.2273,0.1519,17/9/4/5,❌,✅ Isotónica (VAL→TEST),1.61
efficientnet_b3,23,finetune,0.9221,0.9476,0.48,0.8269,"[0.678, 0.962]",0.9091,0.5385,0.8333,0.7692,0.7778,0.0909,0.183,20/7/6/2,❌,✅ Isotónica (VAL→TEST),2.66
