Model,Best Epoch,Best Phase,Train AUC,Val AUC Patient,Val Threshold,TEST AUC (cal),TEST AUC CI95,TEST Recall,TEST Specificity,TEST F1,TEST PPV,TEST NPV,TEST FNR,TEST Brier,TP / TN / FP / FN,Recall ≥ 0.95,Calibrated,Exec Time (min)
resnet50,17,finetune,0.9991,0.9476,0.59,0.9248,"[0.783, 1.000]",1.0,0.7692,0.9362,0.88,1.0,0.0,0.0758,22/10/3/0,✅,✅ Isotónica (VAL→TEST),1.52
efficientnet_b3,25,finetune,0.9356,0.9441,0.485,0.8059,"[0.659, 0.940]",0.7727,0.8462,0.8293,0.8947,0.6875,0.2273,0.1771,17/11/2/5,❌,✅ Isotónica (VAL→TEST),2.68
mobilevit_s,12,finetune,0.936,0.9266,0.54,0.7902,"[0.597, 0.948]",0.8182,0.6923,0.8182,0.8182,0.6923,0.1818,0.1684,18/9/4/4,❌,✅ Isotónica (VAL→TEST),1.08
