Model,Best Epoch,Best Phase,Train AUC,Val AUC Patient,Val Threshold,TEST AUC (cal),TEST AUC CI95,TEST Recall,TEST Specificity,TEST F1,TEST PPV,TEST NPV,TEST FNR,TEST Brier,TP / TN / FP / FN,Recall ≥ 0.95,Calibrated,Exec Time (min)
resnet50,15,finetune,0.9993,0.9441,0.62,0.8986,"[0.757, 0.998]",1.0,0.6154,0.898,0.8148,1.0,0.0,0.11,22/8/5/0,✅,✅ Isotónica (VAL→TEST),1.52
mobilevit_s,19,finetune,0.9464,0.9196,0.495,0.8357,"[0.670, 0.964]",0.7727,0.6923,0.7907,0.8095,0.6429,0.2273,0.1519,17/9/4/5,❌,✅ Isotónica (VAL→TEST),1.62
efficientnet_b3,25,finetune,0.9231,0.9476,0.485,0.8059,"[0.659, 0.940]",0.7727,0.8462,0.8293,0.8947,0.6875,0.2273,0.1802,17/11/2/5,❌,✅ Isotónica (VAL→TEST),2.84
